"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
05/22/2017,11:00,312.80,314.37,306.80,310.35,4329178,0,328.42,299.39,313.90
05/23/2017,11:00,310.46,310.73,303.48,303.86,4318354,0,328.57,298.24,313.40
05/24/2017,11:00,306.51,311.00,305.40,310.22,5041692,0,328.57,298.25,313.41
05/25/2017,11:00,311.02,316.97,307.81,316.83,5013963,0,328.88,298.75,313.82
05/26/2017,11:00,317.28,325.49,316.31,325.14,7802199,0,330.22,298.52,314.37
05/30/2017,11:00,326.00,336.28,325.76,335.10,7782916,0,332.91,297.06,314.98
05/31/2017,11:00,337.69,342.89,335.16,341.01,9963444,0,337.28,294.90,316.09
06/01/2017,11:00,344.00,344.88,337.29,340.37,7607996,0,341.08,294.04,317.56
06/02/2017,11:00,339.77,342.88,335.93,339.85,5590239,0,342.91,296.64,319.78
06/05/2017,11:00,338.50,348.44,334.21,347.32,6784368,0,347.13,296.32,321.73
06/06/2017,11:00,344.70,359.49,339.97,352.85,11086798,0,351.87,296.15,324.01
