"Date","Time","Open","High","Low","Close","Vol","OI"
10/18/2017,12:00,355.97,363.00,354.13,359.65,4939074,0
10/19/2017,12:00,355.56,357.15,348.20,351.81,5061843,0
10/20/2017,12:00,352.69,354.55,344.34,345.10,4930395,0
10/23/2017,12:00,349.88,349.95,336.25,337.02,5747346,0
10/24/2017,12:00,338.80,342.80,336.16,337.34,4491672,0
10/25/2017,12:00,336.70,337.50,323.56,325.84,8594073,0
10/26/2017,12:00,327.78,330.23,323.20,326.17,5023500,0
10/27/2017,12:00,319.75,324.59,316.66,320.87,6979704,0
10/30/2017,12:00,319.18,323.78,317.25,320.08,4254378,0
10/31/2017,12:00,320.23,331.95,320.18,331.53,5672347,0
11/01/2017,12:00,332.25,332.61,320.26,321.08,8457336,0
11/02/2017,12:00,300.13,308.69,292.63,299.26,19791416,0
11/03/2017,12:00,299.50,306.25,295.13,306.09,8893974,0
11/06/2017,12:00,307.00,307.50,299.01,302.78,6486009,0
11/07/2017,12:00,301.02,306.50,300.03,306.05,5294274,0
11/08/2017,12:00,305.50,306.89,301.30,304.39,4725271,0
11/09/2017,12:00,302.50,304.46,296.30,302.99,5447147,0
11/10/2017,12:00,302.50,308.36,301.85,302.99,4625429,0
11/13/2017,12:00,300.13,316.80,299.11,315.40,7584944,0
11/14/2017,12:00,315.00,316.35,306.90,308.70,5676076,0
11/15/2017,12:00,306.01,312.49,301.50,311.30,5978665,0
11/16/2017,12:00,313.99,318.14,311.30,312.50,5822073,0
11/17/2017,12:00,325.67,326.67,313.15,315.05,13735139,0
11/20/2017,12:00,313.79,315.50,304.75,308.74,8247650,0
11/21/2017,12:00,310.86,318.23,308.71,317.81,7261273,0
11/22/2017,12:00,316.77,317.42,311.84,312.60,4917636,0
11/24/2017,12:00,313.79,316.41,311.00,315.55,3244065,0
11/27/2017,12:00,313.25,317.34,309.51,316.81,4555894,0
11/28/2017,12:00,316.36,320.00,313.92,317.55,4949491,0
11/29/2017,12:00,317.30,318.00,301.23,307.54,8767398,0
11/30/2017,12:00,308.92,310.70,304.54,308.85,4351587,0
12/01/2017,12:00,305.44,310.32,305.05,306.53,4292868,0
12/04/2017,12:00,306.50,308.27,300.61,305.20,5835140,0
12/05/2017,12:00,302.00,308.00,301.00,303.70,4646520,0
12/06/2017,12:00,300.10,313.39,300.00,313.26,7195341,0
12/07/2017,12:00,312.00,318.63,311.05,311.24,4780597,0
12/08/2017,12:00,314.60,316.98,311.26,315.13,3468458,0
12/11/2017,12:00,314.63,329.01,313.75,328.91,7937981,0
12/12/2017,12:00,330.45,341.44,330.03,341.03,8733199,0
12/13/2017,12:00,340.93,344.22,336.50,339.03,6221461,0
12/14/2017,12:00,341.01,347.44,336.90,337.89,5799916,0
12/15/2017,12:00,342.04,343.90,335.76,343.45,6933199,0
12/18/2017,12:00,344.90,346.73,337.58,338.87,5476166,0
12/19/2017,12:00,340.26,341.49,330.30,331.10,6824971,0
12/20/2017,12:00,332.69,333.10,325.04,328.98,5953800,0
12/21/2017,12:00,329.59,333.74,327.21,331.66,4385222,0
12/22/2017,12:00,329.51,330.92,324.82,325.20,4215807,0
12/26/2017,12:00,323.83,323.94,316.58,317.29,4378413,0
12/27/2017,12:00,316.00,317.68,310.75,311.64,4712111,0
12/28/2017,12:00,311.75,315.82,309.54,315.36,4316347,0
12/29/2017,12:00,316.18,316.41,310.00,311.35,3777155,0
01/02/2018,12:00,312.00,322.11,311.00,320.53,4352241,0
01/03/2018,12:00,321.00,325.25,315.55,317.25,4521527,0
01/04/2018,12:00,312.87,318.55,305.68,314.62,9946304,0
01/05/2018,12:00,316.62,317.24,312.00,316.58,4591180,0
01/08/2018,12:00,316.00,337.02,315.50,336.41,9859435,0
01/09/2018,12:00,335.16,338.80,327.41,333.69,7146631,0
01/10/2018,12:00,332.20,337.00,330.00,334.80,4309926,0
01/11/2018,12:00,335.24,344.81,333.26,337.95,6645484,0
01/12/2018,12:00,338.63,340.41,333.67,336.22,4825059,0
01/16/2018,12:00,337.54,345.00,334.80,340.06,6474251,0
01/17/2018,12:00,340.47,349.00,339.75,347.16,7103505,0
01/18/2018,12:00,345.67,352.30,343.74,344.57,5685845,0
01/19/2018,12:00,345.00,350.59,342.60,350.02,4888303,0
01/22/2018,12:00,349.40,357.83,349.20,351.56,6210360,0
01/23/2018,12:00,360.00,360.50,351.00,352.79,5465414,0
01/24/2018,12:00,354.58,354.75,343.52,345.89,5287478,0
01/25/2018,12:00,348.27,349.20,336.40,337.64,6740303,0
01/26/2018,12:00,341.50,344.00,335.71,342.85,4539356,0
01/29/2018,12:00,339.85,350.85,338.28,349.53,4747149,0
01/30/2018,12:00,345.14,348.27,342.17,345.82,4717700,0
01/31/2018,12:00,347.51,356.19,345.19,354.31,6214069,0
02/01/2018,12:00,351.00,359.66,348.63,349.25,4197687,0
02/02/2018,12:00,348.44,351.95,340.51,343.75,3704836,0
02/05/2018,12:00,337.97,344.47,333.00,333.13,4464147,0
02/06/2018,12:00,325.21,336.22,323.50,333.97,5088438,0
02/07/2018,12:00,338.99,346.00,335.66,345.00,6969239,0
02/08/2018,12:00,343.31,348.62,314.60,315.23,10314573,0
02/09/2018,12:00,319.93,320.98,294.76,310.42,12933721,0
02/12/2018,12:00,316.13,318.08,306.25,315.73,6227822,0
02/13/2018,12:00,315.02,324.19,312.51,323.66,4560231,0
02/14/2018,12:00,320.84,326.17,318.52,322.31,3950743,0
02/15/2018,12:00,324.50,334.12,322.40,334.07,5912917,0
02/16/2018,12:00,332.50,343.12,331.64,335.49,5642637,0
